scientificName,kingdom,phylum,order,family,genus,species,specificEpithet,decimalLongitude,decimalLatitude,year,month,class,country,datasetName,recordedBy
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-56.546,-21.29225,2007.0,12.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2006.0,1.0,Magnoliopsida,Brazil,HPL - Herbário do Jardim Botânico Plantarum,H. Lorenzi
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2006.0,2.0,Magnoliopsida,Brazil,ICN - Herbário do Instituto de Ciências Naturais,"Lima, LF"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2006.0,5.0,Magnoliopsida,Brazil,UFMT - Herbário UFMT,"Rebellato, L.; Arruda, E.C."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2006.0,7.0,Magnoliopsida,Brazil,EAC - Herbário Prisco Bezerra,"Castro, A.S.F."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.042056,-19.691806,2006.0,7.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,C.R. Lehn
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-40.45,-12.331944,2006.0,7.0,Magnoliopsida,Brazil,HUEFS - Herbario da Universidade Estadual de Feira de Santana,"Queiroz, L.P.de"
Justicia anagallis (Nees) Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,anagallis,-39.565278,-15.391667,2006.0,8.0,Magnoliopsida,Brazil,CEPEC - Herbário do Centro de Pesquisas do Cacau,"Lopes, M. M. M."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2006.0,11.0,Magnoliopsida,Brazil,MBM - Herbário do Museu Botânico Municipal,"Silva, JM; Barbosa, E"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2005.0,2.0,Magnoliopsida,Brazil,"HPAN - Herbário do Pantanal ""Vali Joana Pott""","Carniello, MA"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.379722,-19.250583,2005.0,3.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-50.432,-25.8953,2005.0,4.0,Magnoliopsida,Brazil,"Colección de plantas vasculares de Brasil del Herbario ""Jaime Andrés Rodríguez"". LEB-Brasil",R.Wasum
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2005.0,4.0,Magnoliopsida,Brazil,HUCS - Herbário da Universidade de Caxias do Sul,"Wasum, R.A."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-38.966667,-12.183333,2005.0,7.0,Magnoliopsida,Brazil,HUEFS - Herbario da Universidade Estadual de Feira de Santana,"Melo, E."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2005.0,11.0,Magnoliopsida,Brazil,FUEL - Herbário da Universidade Estadual de Londrina,"Melo, E; et al."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-56.832611,-16.875306,2005.0,11.0,Magnoliopsida,Brazil,CPAP - Herbário CPAP,"Pott, V. J.; Pott A."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-38.978889,-11.931389,2005.0,11.0,Magnoliopsida,Brazil,HUEFS - Herbario da Universidade Estadual de Feira de Santana,"Melo, E."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2005.0,12.0,Magnoliopsida,Brazil,UFMT - Herbário UFMT,"Carniello, M.A."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2004.0,3.0,Magnoliopsida,Brazil,HUFU - Herbarium Uberlandense,"Hatschbach, G.; Hatschbach, M. & Barbosa, E."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2004.0,3.0,Magnoliopsida,Brazil,UFMT - Herbário UFMT,"Rebellato, L."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2004.0,3.0,Magnoliopsida,Brazil,HUEFS - Herbario da Universidade Estadual de Feira de Santana,"Hatschbach, G."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2004.0,3.0,Magnoliopsida,Brazil,CESJ - Herbário Leopoldo Krieger,G. Hatschbach; M. Hatschbach; E. Barbosa
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2004.0,4.0,Magnoliopsida,Brazil,UPCB - Herbário do Departamento de Botânica,"Ribas, O.S."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2004.0,4.0,Magnoliopsida,Brazil,UB - Herbário da Universidade de Brasília,"Ribas, OS"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2004.0,4.0,Magnoliopsida,Brazil,MBM - Herbário do Museu Botânico Municipal,"Ribas, OS; Labiak, P; Petean, MP"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2004.0,6.0,Magnoliopsida,Brazil,UFMT - Herbário UFMT,"Rebellato, L."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-56.18531,-29.00772,2003.0,1.0,Magnoliopsida,Brazil,Vascular plants,M. A. G. Magenta
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2003.0,3.0,Magnoliopsida,Brazil,NMNH Extant Biology,"G. Hatschbach, M. M. Hatschbach & E. Barbosa"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2003.0,3.0,Magnoliopsida,Brazil,UFMT - Herbário UFMT,"Arruda, S.M.V.; Rebellato, L."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2003.0,3.0,Magnoliopsida,Brazil,UFMT - Herbário UFMT,"Santos, M.C.V.; Arruda, E.C.; Rebellato, L."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2003.0,3.0,Magnoliopsida,Brazil,MBM - Herbário do Museu Botânico Municipal,"Hatschbach, G; Hatschbach, M; Barbosa, E"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.689444,-17.821111,2003.0,3.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2003.0,3.0,Magnoliopsida,Brazil,NMNH Extant Biology,"G. Hatschbach, M. M. Hatschbach & E. Barbosa"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2003.0,3.0,Magnoliopsida,Brazil,MBM - Herbário do Museu Botânico Municipal,"Hatschbach, G; Hatschbach, M; Barbosa, E"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2003.0,3.0,Magnoliopsida,Brazil,,"G. Hatschbach, M. Hatschbach & E. Barbosa"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2003.0,3.0,Magnoliopsida,Brazil,NMNH Extant Biology,"G. Hatschbach, M. M. Hatschbach & E. Barbosa"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.047528,-19.376667,2003.0,6.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2003.0,6.0,Magnoliopsida,Brazil,CEPEC - Herbário do Centro de Pesquisas do Cacau,G. Hatschbach
